iter	Passed	Remaining
0	153	153759
1	156	78277
2	158	52660
3	159	39784
4	160	32007
5	161	26812
6	163	23244
7	165	20568
8	167	18399
9	169	16753
10	170	15344
11	171	14156
12	174	13252
13	175	12379
14	177	11636
15	178	10976
16	179	10405
17	181	9881
18	182	9409
19	184	9027
20	185	8652
21	186	8291
22	187	7964
23	189	7691
24	190	7420
25	191	7169
26	192	6927
27	193	6707
28	194	6514
29	195	6321
30	196	6139
31	197	5982
32	198	5828
33	199	5677
34	200	5539
35	201	5405
36	202	5278
37	203	5157
38	205	5055
39	206	4953
40	207	4852
41	208	4758
42	209	4664
43	211	4590
44	217	4613
45	218	4540
46	220	4468
47	221	4395
48	223	4337
49	224	4266
50	225	4203
51	227	4140
52	228	4081
53	229	4023
54	230	3968
55	233	3933
56	234	3887
57	236	3839
58	237	3787
59	238	3736
60	239	3692
61	241	3650
62	242	3606
63	243	3562
64	244	3523
65	245	3480
66	247	3446
67	248	3402
68	250	3374
69	251	3337
70	252	3299
71	253	3264
72	254	3231
73	256	3206
74	257	3174
75	258	3144
76	259	3113
77	260	3083
78	262	3060
79	264	3038
80	265	3014
81	266	2988
82	268	2961
83	269	2937
84	270	2915
85	272	2890
86	272	2861
87	273	2839
88	275	2816
89	276	2795
90	277	2774
91	279	2754
92	280	2733
93	281	2711
94	282	2690
95	283	2669
96	285	2653
97	286	2635
98	287	2616
99	288	2598
100	289	2579
101	290	2555
102	291	2537
103	293	2526
104	295	2514
105	296	2499
106	297	2482
107	298	2465
108	300	2453
109	301	2439
110	302	2424
111	304	2411
112	306	2403
113	307	2390
114	309	2380
115	310	2369
116	312	2360
117	314	2347
118	315	2334
119	317	2328
120	319	2319
121	320	2309
122	321	2293
123	326	2307
124	329	2304
125	332	2304
126	334	2297
127	335	2283
128	336	2275
129	338	2266
130	340	2257
131	341	2247
132	343	2238
133	344	2227
134	346	2219
135	347	2209
136	349	2199
137	350	2188
138	351	2178
139	353	2172
140	355	2168
141	357	2161
142	359	2154
143	361	2149
144	363	2144
145	365	2136
146	366	2126
147	368	2123
148	370	2115
149	371	2107
150	373	2098
151	374	2090
152	376	2085
153	379	2085
154	381	2077
155	384	2079
156	386	2075
157	388	2070
158	390	2065
159	393	2063
160	395	2062
161	397	2058
162	401	2061
163	403	2055
164	404	2047
165	407	2045
166	408	2039
167	410	2031
168	411	2025
169	414	2021
170	416	2020
171	418	2014
172	420	2008
173	422	2007
174	424	2001
175	426	1995
176	427	1989
177	430	1986
178	431	1981
179	433	1975
180	434	1965
181	436	1963
182	438	1959
183	440	1953
184	442	1947
185	445	1948
186	447	1946
187	449	1941
188	452	1941
189	454	1938
190	456	1934
191	459	1932
192	461	1930
193	463	1925
194	465	1919
195	467	1916
196	469	1912
197	471	1907
198	474	1909
199	478	1913
200	480	1909
201	482	1906
202	484	1902
203	486	1900
204	489	1898
205	492	1899
206	494	1896
207	497	1893
208	500	1894
209	503	1895
210	506	1892
211	507	1888
212	510	1886
213	513	1887
214	517	1888
215	520	1890
216	523	1890
217	528	1894
218	531	1896
219	535	1897
220	538	1897
221	541	1897
222	544	1898
223	549	1902
224	552	1904
225	557	1909
226	560	1908
227	562	1905
228	565	1903
229	568	1904
230	571	1903
231	575	1903
232	578	1904
233	581	1903
234	586	1907
235	589	1907
236	592	1908
237	596	1911
238	600	1911
239	603	1911
240	607	1912
241	610	1912
242	613	1911
243	616	1911
244	620	1911
245	623	1911
246	627	1912
247	630	1910
248	633	1909
249	636	1909
250	640	1910
251	643	1910
252	646	1910
253	650	1909
254	652	1907
255	656	1908
256	659	1907
257	663	1907
258	666	1905
259	669	1906
260	673	1905
261	675	1903
262	678	1902
263	682	1903
264	686	1904
265	689	1902
266	693	1903
267	696	1902
268	700	1904
269	704	1903
270	707	1904
271	711	1903
272	714	1903
273	718	1903
274	722	1904
275	725	1904
276	729	1905
277	733	1904
278	737	1905
279	741	1906
280	745	1906
281	748	1906
282	752	1905
283	757	1908
284	761	1911
285	765	1910
286	768	1909
287	772	1908
288	775	1908
289	779	1908
290	783	1910
291	787	1909
292	790	1908
293	794	1907
294	797	1906
295	801	1906
296	805	1906
297	809	1907
298	813	1907
299	817	1907
300	821	1907
301	825	1907
302	829	1907
303	832	1906
304	836	1906
305	840	1907
306	845	1908
307	848	1907
308	854	1910
309	858	1910
310	864	1915
311	868	1915
312	874	1920
313	879	1920
314	885	1926
315	890	1927
316	895	1929
317	902	1935
318	907	1936
319	916	1947
320	921	1949
321	927	1951
322	930	1949
323	935	1951
324	939	1951
325	944	1952
326	948	1951
327	952	1952
328	955	1948
329	958	1946
330	962	1945
331	967	1946
332	972	1948
333	979	1953
334	982	1951
335	987	1950
336	993	1953
337	999	1957
338	1003	1957
339	1007	1956
340	1012	1956
341	1018	1959
342	1044	2000
343	1047	1997
344	1060	2014
345	1075	2032
346	1084	2040
347	1092	2047
348	1103	2057
349	1107	2057
350	1198	2216
351	1230	2264
352	1262	2314
353	1294	2362
354	1310	2380
355	1326	2400
356	1335	2404
357	1357	2434
358	1366	2439
359	1381	2455
360	1391	2463
361	1398	2465
362	1411	2476
363	1425	2490
364	1447	2517
365	1460	2530
366	1477	2549
367	1481	2543
368	1548	2648
369	1562	2660
370	1580	2679
371	1604	2709
372	1630	2740
373	1705	2854
374	1726	2877
375	1759	2919
376	1767	2921
377	1770	2912
378	1774	2907
379	1778	2902
380	1783	2898
381	1787	2891
382	1790	2884
383	1795	2879
384	1798	2872
385	1802	2866
386	1805	2859
387	1810	2856
388	1812	2847
389	1815	2838
390	1816	2829
391	1819	2822
392	1824	2818
393	1829	2813
394	1833	2809
395	1837	2802
396	1839	2794
397	1841	2785
398	1844	2778
399	1850	2776
400	1855	2771
401	1858	2764
402	1861	2757
403	1870	2759
404	1872	2751
405	1875	2744
406	1878	2736
407	1881	2729
408	1883	2722
409	1887	2716
410	1890	2708
411	1893	2702
412	1896	2696
413	1900	2690
414	1904	2684
415	1908	2679
416	1910	2671
417	1913	2664
418	1917	2658
419	1920	2651
420	1924	2646
421	1927	2639
422	1931	2634
423	1935	2629
424	1937	2621
425	1940	2614
426	1942	2606
427	1945	2600
428	1948	2593
429	1951	2586
430	1954	2580
431	1956	2572
432	1959	2566
433	1963	2560
434	1966	2554
435	1969	2547
436	1973	2542
437	1977	2537
438	1980	2531
439	1984	2525
440	1987	2519
441	1991	2514
442	1994	2507
443	1998	2502
444	2002	2497
445	2006	2491
446	2008	2485
447	2011	2478
448	2014	2471
449	2016	2464
450	2020	2459
451	2023	2453
452	2026	2446
453	2029	2440
454	2031	2433
455	2035	2428
456	2038	2422
457	2041	2415
458	2045	2410
459	2048	2404
460	2051	2398
461	2054	2392
462	2057	2386
463	2061	2380
464	2064	2375
465	2067	2369
466	2070	2363
467	2073	2357
468	2077	2351
469	2080	2346
470	2083	2340
471	2086	2334
472	2091	2329
473	2094	2324
474	2097	2318
475	2101	2313
476	2106	2309
477	2110	2304
478	2114	2299
479	2117	2293
480	2121	2288
481	2123	2282
482	2127	2277
483	2132	2272
484	2136	2269
485	2140	2264
486	2145	2260
487	2149	2255
488	2152	2249
489	2156	2244
490	2159	2239
491	2163	2233
492	2166	2228
493	2171	2223
494	2175	2219
495	2178	2214
496	2182	2208
497	2185	2203
498	2189	2198
499	2193	2193
500	2197	2188
501	2201	2183
502	2205	2179
503	2210	2175
504	2213	2169
505	2218	2166
506	2222	2160
507	2226	2156
508	2229	2150
509	2233	2146
510	2237	2141
511	2243	2138
512	2249	2135
513	2256	2133
514	2263	2132
515	2268	2127
516	2272	2123
517	2281	2123
518	2287	2119
519	2293	2117
520	2299	2113
521	2303	2109
522	2307	2104
523	2316	2104
524	2322	2101
525	2327	2097
526	2332	2093
527	2336	2089
528	2341	2084
529	2345	2079
530	2350	2075
531	2353	2070
532	2358	2066
533	2362	2061
534	2366	2056
535	2371	2052
536	2375	2048
537	2379	2043
538	2383	2038
539	2388	2034
540	2392	2030
541	2398	2027
542	2402	2022
543	2406	2017
544	2413	2014
545	2417	2010
546	2421	2005
547	2424	1999
548	2427	1994
549	2444	2000
550	2467	2010
551	2481	2014
552	2484	2008
553	2492	2006
554	2496	2001
555	2500	1997
556	2507	1994
557	2510	1988
558	2514	1983
559	2522	1981
560	2531	1980
561	2547	1985
562	2573	1997
563	2589	2002
564	2606	2007
565	2617	2007
566	2632	2010
567	2642	2009
568	2649	2006
569	2664	2010
570	2680	2013
571	2690	2013
572	2696	2009
573	2703	2006
574	2713	2005
575	2717	2000
576	2724	1997
577	2727	1991
578	2738	1991
579	2763	2001
580	2773	1999
581	2786	2001
582	2789	1994
583	2798	1993
584	2810	1993
585	2925	2066
586	2929	2061
587	2935	2056
588	2938	2050
589	3048	2118
590	3052	2112
591	3056	2106
592	3060	2100
593	3064	2094
594	3068	2088
595	3071	2082
596	3075	2076
597	3078	2069
598	3091	2069
599	3098	2065
600	3108	2063
601	3118	2061
602	3123	2056
603	3125	2049
604	3128	2042
605	3133	2037
606	3153	2041
607	3159	2036
608	3162	2030
609	3166	2024
610	3170	2018
611	3174	2012
612	3178	2006
613	3181	2000
614	3184	1993
615	3186	1986
616	3190	1980
617	3193	1974
618	3197	1968
619	3200	1961
620	3205	1956
621	3207	1949
622	3210	1943
623	3213	1936
624	3215	1929
625	3220	1923
626	3221	1916
627	3224	1909
628	3228	1904
629	3232	1898
630	3237	1893
631	3240	1886
632	3243	1880
633	3246	1874
634	3251	1868
635	3253	1862
636	3257	1856
637	3260	1850
638	3264	1844
639	3267	1838
640	3270	1831
641	3274	1825
642	3291	1827
643	3296	1822
644	3300	1816
645	3303	1810
646	3305	1803
647	3308	1797
648	3310	1790
649	3312	1783
650	3314	1776
651	3316	1770
652	3319	1763
653	3322	1757
654	3325	1751
655	3328	1745
656	3332	1739
657	3335	1733
658	3338	1727
659	3341	1721
660	3344	1715
661	3347	1709
662	3350	1703
663	3353	1696
664	3356	1690
665	3359	1684
666	3362	1678
667	3365	1672
668	3367	1665
669	3369	1659
670	3372	1653
671	3374	1646
672	3377	1640
673	3380	1634
674	3382	1628
675	3385	1622
676	3387	1616
677	3392	1611
678	3396	1605
679	3400	1600
680	3403	1594
681	3407	1588
682	3411	1583
683	3414	1577
684	3417	1571
685	3420	1565
686	3424	1560
687	3427	1554
688	3431	1549
689	3434	1543
690	3438	1537
691	3441	1531
692	3445	1526
693	3448	1520
694	3451	1514
695	3455	1509
696	3457	1503
697	3461	1497
698	3464	1491
699	3467	1486
700	3470	1480
701	3473	1474
702	3476	1468
703	3480	1463
704	3484	1457
705	3486	1451
706	3489	1446
707	3492	1440
708	3496	1434
709	3499	1429
710	3502	1423
711	3506	1418
712	3509	1412
713	3513	1407
714	3517	1402
715	3521	1396
716	3526	1391
717	3530	1386
718	3534	1381
719	3538	1376
720	3541	1370
721	3544	1364
722	3548	1359
723	3552	1354
724	3555	1348
725	3559	1343
726	3563	1338
727	3567	1332
728	3571	1327
729	3575	1322
730	3578	1316
731	3581	1311
732	3584	1305
733	3589	1300
734	3593	1295
735	3597	1290
736	3600	1284
737	3604	1279
738	3607	1274
739	3611	1268
740	3614	1263
741	3618	1258
742	3622	1252
743	3628	1248
744	3632	1243
745	3635	1237
746	3638	1232
747	3641	1226
748	3645	1221
749	3649	1216
750	3652	1211
751	3656	1205
752	3660	1200
753	3664	1195
754	3667	1190
755	3672	1185
756	3676	1180
757	3680	1174
758	3683	1169
759	3688	1164
760	3693	1159
761	3697	1154
762	3703	1150
763	3709	1145
764	3715	1141
765	3720	1136
766	3725	1131
767	3730	1126
768	3735	1122
769	3742	1117
770	3747	1112
771	3752	1108
772	3758	1103
773	3762	1098
774	3769	1094
775	3776	1090
776	3785	1086
777	3789	1081
778	3792	1076
